1JANATAMF,6.2,6.2,6.1,6.1,6.1,0.1,64,1.578,257860
1STPRIMFMF,17.2,17.8,17.0,17.1,17.1,0.1,73,2.054,120110
AAMRANET,36.0,36.5,35.9,36.0,36.0,0.0,292,7.174,199134
AAMRATECH,31.5,33.0,31.4,31.5,31.7,-0.2,251,8.82,278842
ABB1STMF,5.4,5.5,5.4,5.4,5.4,0.0,21,0.557,103048
ABBANK,10.3,10.7,10.2,10.3,10.4,-0.1,265,4.514,436910
ACFL,25.9,26.1,25.6,25.9,25.6,0.3,73,1.739,66955
ACI,278.6,279.8,277.6,278.6,278.7,-0.1,266,9.169,32938
ACIFORMULA,156.4,159.9,156.1,156.4,158.7,-2.3,899,26.068,165941
ACMELAB,87.5,88.0,87.2,87.5,87.5,0.0,270,10.785,123193
ACTIVEFINE,21.1,21.5,20.9,21.1,21.1,0.0,302,11.602,548850
ADNTEL,65.1,65.6,63.9,64.8,65.2,-0.1,253,5.076,78567
ADVENT,24.5,24.8,24.4,24.5,24.6,-0.1,146,3.94,160520
AFCAGRO,24.4,24.9,24.3,24.4,24.7,-0.3,192,3.996,163132
AGNISYSL,22.3,23.3,22.2,22.3,22.6,-0.3,246,7.438,332088
AGRANINS,42.8,44.9,42.8,42.8,43.6,-0.8,92,1.908,44452
AIBL1STIMF,8.0,8.0,7.9,7.9,7.9,0.1,33,0.639,80496
AIL,46.2,47.4,46.0,46.1,46.7,-0.5,121,1.984,42584
ALARABANK,25.4,25.7,25.3,25.4,25.3,0.1,145,2.727,107378
ALIF,13.8,13.9,13.8,13.8,14.0,-0.2,238,8.86,642015
AMANFEED,35.0,35.8,35.0,35.0,35.7,-0.7,603,17.0,484402
AMCL(PRAN),267.0,273.0,265.5,267.0,270.2,-3.2,146,1.781,6622
ANWARGALV,419.0,426.9,412.1,424.9,420.4,-1.4,516,286.783,675618
AOL,37.2,38.5,37.1,37.2,37.8,-0.6,121,1.813,48438
APEXFOODS,176.3,178.3,174.0,176.3,177.2,-0.9,247,4.271,24291
APEXFOOT,264.0,275.4,262.0,263.0,265.7,-1.7,200,4.851,18408
APEXSPINN,133.7,134.0,129.0,133.7,128.9,4.8,679,10.859,81999
APEXTANRY,151.1,152.0,145.1,151.1,147.1,4.0,370,6.362,42407
ARAMIT,273.5,282.4,272.7,273.5,273.0,0.5,81,1.468,5363
ASIAINS,56.4,58.0,56.4,56.4,57.5,-1.1,340,7.641,134997
ASIAPACINS,50.3,52.8,50.3,50.6,51.3,-1.0,89,2.148,42454
ATCSLGF,9.8,10.5,9.8,9.8,9.9,-0.1,129,2.173,221658
BANGAS,141.7,149.0,140.6,141.7,135.5,6.2,1585,48.231,332270
BANKASIA,19.8,19.8,19.5,19.5,19.5,0.3,149,3.373,172195
BARKAPOWER,23.6,23.8,23.5,23.6,23.5,0.1,140,2.662,112795
BATBC,542.7,545.0,542.5,542.7,542.0,0.7,969,28.346,52191
BAYLEASING,26.0,26.5,25.9,26.0,26.3,-0.3,403,15.475,593590
BBSCABLES,54.3,55.5,54.2,54.3,55.0,-0.7,397,11.142,204437
BDAUTOCA,130.7,133.2,130.5,130.8,132.0,-1.3,125,2.323,17685
BDCOM,33.5,34.5,33.5,33.5,34.1,-0.6,1382,66.057,1958587
BDFINANCE,49.0,52.7,49.0,49.1,49.7,-0.7,184,11.26,229128
BDLAMPS,247.6,258.0,247.0,247.6,251.9,-4.3,358,8.322,33378
BDTHAI,17.2,17.6,17.2,17.2,17.5,-0.3,302,8.582,494982
BEACONPHAR,260.1,265.0,260.1,260.1,265.4,-5.3,166,6.465,24800
BENGALWTL,22.5,22.9,22.3,22.5,22.3,0.2,144,2.997,133209
BEXIMCO,132.2,135.9,132.2,132.2,134.8,-2.6,1678,194.846,1460443
BGIC,45.1,45.6,44.9,45.1,45.8,-0.7,49,0.576,12783
BNICL,67.4,70.1,67.4,67.4,68.7,-1.3,173,6.117,90235
BPML,53.0,53.3,52.4,52.7,52.9,0.1,186,6.967,132273
BPPL,32.1,32.5,31.9,32.1,32.4,-0.3,424,7.576,235945
BRACBANK,38.8,39.1,38.6,38.8,38.4,0.4,461,20.422,525691
BSC,115.0,117.5,114.7,115.0,116.5,-1.5,1321,56.615,490460
BSCCL,213.0,214.6,212.3,212.6,214.6,-1.6,336,14.293,67176
BSRMLTD,95.3,96.6,95.0,95.3,96.7,-1.4,212,3.538,37033
BSRMSTEEL,66.8,67.2,66.5,66.8,66.9,-0.1,166,3.482,52124
BXPHARMA,158.0,160.4,157.5,158.0,158.7,-0.7,411,16.38,103445
CAPMBDBLMF,10.4,10.7,10.1,10.1,10.3,0.1,88,1.921,185974
CAPMIBBLMF,14.5,15.1,14.5,14.5,14.7,-0.2,98,2.446,167561
CENTRALINS,41.8,46.0,41.5,41.8,42.1,-0.3,39,0.353,8449
CITYBANK,22.9,23.0,22.5,22.8,22.6,0.3,324,7.924,348438
CITYGENINS,29.9,32.9,29.9,29.9,30.5,-0.6,72,0.995,33147
CNATEX,10.0,10.4,10.0,10.0,10.0,0.0,140,6.281,626328
CONFIDCEM,101.6,102.5,101.4,101.6,101.9,-0.3,280,9.907,97339
CONTININS,36.5,36.8,36.5,36.5,37.2,-0.7,156,6.059,165918
COPPERTECH,38.2,39.5,38.1,38.2,38.8,-0.6,334,20.485,534584
CRYSTALINS,37.6,38.6,37.5,37.6,38.2,-0.6,67,1.459,38797
DACCADYE,18.5,19.0,18.4,18.5,18.7,-0.2,362,11.995,643561
DAFODILCOM,69.0,70.4,68.3,69.9,69.6,-0.6,22,1.07,15310
DBH,61.3,62.3,60.8,61.3,61.7,-0.4,107,2.324,37768
DBH1STMF,7.2,7.3,7.1,7.2,7.2,0.0,26,0.201,27881
DESCO,38.1,38.8,37.7,38.1,38.1,0.0,167,3.212,84358
DESHBANDHU,18.0,18.5,17.9,18.0,18.1,-0.1,130,2.495,138493
DGIC,29.8,30.5,29.6,29.8,30.1,-0.3,74,1.162,38903
DHAKABANK,13.2,13.3,13.1,13.2,13.1,0.1,36,0.698,52961
DHAKAINS,54.8,56.9,54.4,54.8,55.5,-0.7,101,2.73,49883
DOMINAGE,22.5,23.1,22.4,22.5,22.8,-0.3,243,6.325,278656
DOREENPWR,76.4,76.5,75.7,75.9,76.5,-0.1,291,8.635,113732
DSHGARME,165.3,168.7,164.8,165.3,165.9,-0.6,398,8.772,52841
DSSL,17.6,17.9,17.5,17.6,17.7,-0.1,521,19.823,1122265
DUTCHBANGL,64.0,64.9,63.8,64.0,64.3,-0.3,158,4.183,65282
EASTERNINS,60.4,62.0,60.4,60.4,61.6,-1.2,180,2.634,43454
EASTLAND,28.4,29.3,28.4,28.4,28.7,-0.3,158,2.842,99270
EASTRNLUB,1856.0,1900.0,1854.4,1856.0,1882.3,-26.3,292,2.782,1493
EBL,32.3,32.9,32.0,32.3,32.6,-0.3,107,1.425,44345
EBL1STMF,7.5,7.5,7.4,7.4,7.5,0.0,15,0.101,13652
EBLNRBMF,6.3,6.4,6.2,6.3,6.3,0.0,35,0.903,143323
EGEN,44.5,45.3,44.5,44.7,45.3,-0.8,50,0.483,10830
EHL,58.2,59.2,57.8,58.2,58.9,-0.7,565,23.146,397767
EIL,29.9,31.4,29.9,29.9,30.5,-0.6,225,5.567,185863
EMERALDOIL,45.5,45.6,43.8,45.5,43.1,2.4,1651,68.122,1516368
ENVOYTEX,44.5,45.7,44.5,44.8,44.8,-0.3,84,1.873,41656
EPGL,38.5,38.6,37.5,38.3,38.0,0.5,139,2.672,69694
ESQUIRENIT,33.5,34.0,33.1,33.6,33.7,-0.2,139,2.194,65753
EXIM1STMF,5.9,6.1,5.9,5.9,5.9,0.0,56,2.119,358275
EXIMBANK,11.1,11.3,11.1,11.1,11.3,-0.2,231,9.053,812422
FBFIF,5.1,5.2,5.1,5.1,5.1,0.0,68,3.059,593194
FEDERALINS,27.9,28.4,27.9,28.0,28.4,-0.5,139,1.391,49683
FEKDIL,17.8,17.8,17.4,17.7,17.5,0.3,103,1.981,112678
FIRSTSBANK,10.4,10.4,10.3,10.4,10.4,0.0,253,11.039,1066350
FORTUNE,95.2,99.4,95.2,95.2,97.1,-1.9,672,28.69,299572
FUWANGCER,19.5,19.6,19.0,19.5,19.0,0.5,1335,53.216,2747311
GBBPOWER,21.3,21.8,21.3,21.3,21.7,-0.4,472,11.947,556764
GEMINISEA,348.6,359.0,348.1,348.6,355.0,-6.4,759,19.314,54997
GENEXIL,77.1,79.2,77.1,77.1,78.6,-1.5,980,31.741,408714
GLOBALINS,37.2,37.9,37.2,37.2,37.9,-0.7,142,2.744,73669
GOLDENSON,16.8,17.2,16.7,16.7,16.8,0.0,198,4.002,238234
GP,305.6,305.9,304.2,305.6,303.7,1.9,329,11.511,37683
GPHISPAT,52.4,53.9,52.3,52.4,52.7,-0.3,719,32.2,612755
GRAMEENS2,15.7,16.2,15.7,15.7,15.7,0.0,16,0.196,12460
GREENDELMF,7.0,7.1,7.0,7.0,7.1,-0.1,49,0.35,49840
GREENDELT,71.0,72.1,71.0,71.6,72.0,-1.0,147,4.386,61522
GSPFINANCE,31.1,31.4,30.2,31.1,30.4,0.7,1018,40.648,1320497
HRTEX,98.6,99.8,98.6,98.6,100.6,-2.0,453,47.103,477383
HWAWELLTEX,45.0,45.3,45.0,45.0,45.0,0.0,53,1.104,24496
IBNSINA,292.2,300.0,284.4,292.2,284.4,7.8,135,5.466,18790
IBP,17.4,17.7,17.4,17.4,17.5,-0.1,170,3.381,193727
ICB,97.2,98.1,97.0,97.8,97.4,-0.2,135,2.129,21857
ICB3RDNRB,6.8,7.0,6.8,6.8,6.9,-0.1,26,0.282,41250
ICBAGRANI1,9.3,9.3,9.3,9.3,9.4,-0.1,5,0.21,22532
ICBAMCL2ND,8.9,9.0,8.8,8.9,8.8,0.1,52,1.037,116471
ICBEPMF1S1,7.1,7.2,7.0,7.1,7.1,0.0,11,0.083,11665
ICBSONALI1,8.3,8.4,8.1,8.2,8.0,0.3,5,0.026,3211
IDLC,48.3,48.8,48.0,48.1,48.5,-0.2,236,5.255,108973
IFADAUTOS,49.6,51.0,49.5,49.6,49.6,0.0,217,5.054,101867
IFIC,12.0,12.2,11.9,12.0,12.0,0.0,494,22.341,1852269
IFIC1STMF,5.3,5.5,5.3,5.3,5.4,-0.1,42,0.864,161547
IFILISLMF1,6.6,6.6,6.5,6.6,6.5,0.1,16,0.073,11160
INDEXAGRO,102.9,103.1,101.1,102.7,102.0,0.9,93,1.887,18397
INTECH,29.4,30.5,29.2,29.4,29.6,-0.2,303,5.994,202363
INTRACO,20.3,20.7,20.2,20.3,20.4,-0.1,119,5.71,280272
IPDC,56.1,57.2,55.7,56.1,56.8,-0.7,399,119.107,2129267
ISLAMIBANK,32.8,32.8,32.5,32.7,32.8,0.0,203,6.323,193706
ISLAMICFIN,21.5,22.6,21.4,21.5,21.8,-0.3,147,3.203,147774
ISLAMIINS,45.2,48.8,45.2,45.2,46.1,-0.9,100,1.801,39775
ITC,33.0,33.5,32.7,32.8,33.0,0.0,112,2.705,82330
JAMUNABANK,21.4,21.7,21.1,21.4,21.3,0.1,88,1.915,89335
JAMUNAOIL,171.8,175.2,171.8,174.3,173.0,-1.2,201,5.503,31636
JANATAINS,35.5,36.2,35.5,35.5,36.2,-0.7,117,1.316,36947
JMISMDL,312.9,312.9,306.0,309.0,307.3,5.6,128,1.954,6355
KARNAPHULI,32.4,34.2,32.4,32.4,33.0,-0.6,120,1.78,54769
KAY&QUE,236.1,249.5,235.0,236.1,238.6,-2.5,120,4.512,18998
KDSALTD,59.1,60.3,58.4,59.1,58.1,1.0,703,33.786,571134
KEYACOSMET,6.7,6.8,6.6,6.7,6.7,0.0,463,13.215,1975728
KOHINOOR,373.5,376.4,372.0,373.5,377.6,-4.1,310,5.974,15979
KTL,28.3,29.9,28.1,28.3,28.6,-0.3,450,12.44,440652
LANKABAFIN,28.1,28.7,27.8,28.1,28.3,-0.2,567,18.936,675605
LEGACYFOOT,58.3,59.2,58.0,58.3,58.7,-0.4,130,2.45,42008
LHBL,67.9,69.1,67.7,67.9,69.0,-1.1,1206,73.796,1084814
LIBRAINFU,791.1,810.0,790.4,791.4,806.5,-15.4,142,1.43,1804
LINDEBD,1410.0,1433.9,1408.0,1409.8,1429.7,-19.7,390,6.759,4771
LOVELLO,39.5,40.5,39.4,39.5,40.2,-0.7,420,11.051,278571
LRBDL,41.8,42.3,39.8,41.8,39.6,2.2,1073,52.076,1263309
LRGLOBMF1,6.6,6.6,6.5,6.5,6.6,0.0,71,3.49,533084
MALEKSPIN,28.7,29.1,28.3,28.7,28.4,0.3,753,34.786,1208932
MARICO,2380.6,2390.0,2376.1,2380.6,2424.5,-43.9,172,13.157,5525
MATINSPINN,67.6,67.9,66.9,67.6,67.5,0.1,233,9.214,136802
MBL1STMF,6.9,7.1,6.8,6.9,6.9,0.0,92,2.048,296684
MEGHNACEM,69.8,70.5,68.6,69.8,69.7,0.1,69,0.856,12308
MERCANBANK,13.9,14.2,13.9,13.9,14.1,-0.2,424,22.987,1643303
MERCINS,36.0,40.2,35.9,36.0,36.6,-0.6,179,3.458,95152
METROSPIN,27.4,27.9,26.5,27.4,26.5,0.9,1386,97.469,3588662
MHSML,30.0,30.8,28.0,30.0,28.1,1.9,772,37.824,1270818
MIRAKHTER,54.1,55.6,54.0,54.1,54.9,-0.8,234,4.648,84878
MJLBD,89.5,90.0,88.8,89.4,88.8,0.7,157,2.815,31495
MLDYEING,22.3,22.7,22.2,22.3,22.0,0.3,195,5.199,232379
MONNOAGML,473.8,485.8,472.6,476.4,482.2,-8.4,195,2.464,5172
MONNOCERA,101.4,102.7,100.6,101.4,101.7,-0.3,327,4.012,39510
MONOSPOOL,168.2,173.7,168.2,168.2,171.6,-3.4,526,8.669,51292
MPETROLEUM,200.5,202.9,200.5,201.0,201.2,-0.7,95,3.563,17702
MTB,17.2,17.7,17.2,17.3,17.4,-0.2,30,0.126,7294
NAHEEACP,66.3,68.8,65.4,66.3,66.7,-0.4,150,4.451,66882
NAVANACNG,27.2,27.4,27.0,27.3,27.4,-0.2,33,0.479,17629
NBL,8.1,8.1,8.0,8.1,8.1,0.0,318,26.925,3338645
NCCBANK,13.8,13.9,13.8,13.8,13.9,-0.1,110,3.098,223937
NCCBLMF1,7.0,7.2,7.0,7.0,7.0,0.0,5,0.007,1002
NEWLINE,45.9,45.9,45.9,45.9,45.8,0.1,18,2.304,50200
NHFIL,44.0,45.0,43.8,44.0,44.6,-0.6,321,9.812,222757
NITOLINS,45.2,50.0,45.2,45.2,46.1,-0.9,72,1.534,33878
NORTHRNINS,44.3,44.4,44.3,44.3,44.6,-0.3,34,1.124,25378
NPOLYMER,52.4,53.1,52.3,52.4,52.5,-0.1,248,9.989,190480
NRBCBANK,20.4,20.7,20.4,20.4,20.6,-0.2,298,11.727,573520
OLYMPIC,124.1,129.9,123.8,124.1,124.4,-0.3,179,2.686,21566
ONEBANKLTD,10.5,10.7,10.4,10.5,10.6,-0.1,199,5.058,480398
ORIONINFU,84.4,86.2,83.6,84.4,85.3,-0.9,695,19.566,230949
ORIONPHARM,88.3,91.3,88.1,88.3,89.7,-1.4,724,33.956,379644
PADMAOIL,211.9,212.5,209.0,212.3,210.1,1.8,118,2.791,13199
PAPERPROC,177.0,183.9,177.0,177.0,180.6,-3.6,641,22.726,128036
PARAMOUNT,51.7,52.9,51.7,51.7,52.7,-1.0,146,3.014,57912
PDL,11.6,11.9,11.6,11.6,11.7,-0.1,215,4.368,373640
PENINSULA,30.1,30.6,30.0,30.1,30.3,-0.2,375,7.607,252327
PEOPLESINS,45.6,46.4,45.6,45.6,46.5,-0.9,291,11.906,260672
PF1STMF,10.7,11.0,10.7,10.7,10.9,-0.2,100,1.761,164343
PHARMAID,786.5,791.0,775.0,786.5,772.4,14.1,439,13.733,17498
PHENIXINS,40.3,41.0,40.3,40.3,40.8,-0.5,67,1.172,28945
PHOENIXFIN,17.8,18.3,17.8,17.8,18.1,-0.3,82,2.889,161580
PHPMF1,5.3,5.4,5.3,5.3,5.4,-0.1,58,2.073,385178
PIONEERINS,81.6,82.6,81.6,81.6,83.2,-1.6,228,8.279,101366
POPULAR1MF,5.2,5.4,5.2,5.2,5.2,0.0,88,3.707,702052
POWERGRID,56.5,57.7,56.4,56.5,57.1,-0.6,383,18.496,325733
PRAGATIINS,61.3,65.2,61.2,61.3,62.4,-1.1,129,3.796,61529
PREMIERBAN,13.0,13.2,13.0,13.0,13.1,-0.1,211,7.824,599296
PREMIERCEM,46.5,48.4,46.2,46.5,47.1,-0.6,530,14.579,308012
PRIME1ICBA,7.6,7.6,7.5,7.6,7.6,0.0,32,0.326,43000
PRIMEBANK,19.1,19.2,18.9,19.0,19.0,0.1,159,1.803,94877
PRIMEINSUR,91.4,92.8,90.9,91.4,91.7,-0.3,262,12.431,135553
PRIMETEX,30.9,31.1,28.4,30.9,28.3,2.6,1661,85.976,2821312
PROVATIINS,71.0,72.6,71.0,71.0,72.4,-1.4,821,28.297,397795
PTL,77.6,79.5,77.3,77.6,78.6,-1.0,320,8.803,112809
PUBALIBANK,25.2,25.8,25.2,25.2,25.7,-0.5,60,1.121,44149
PURABIGEN,29.6,30.6,29.6,29.6,30.2,-0.6,173,2.452,82419
QUASEMIND,63.1,64.1,62.5,62.6,63.7,-0.6,957,32.985,524247
QUEENSOUTH,23.6,24.0,23.6,23.6,23.7,-0.1,364,11.896,501211
RAHIMTEXT,215.7,222.9,215.1,215.5,219.4,-3.7,114,2.459,11273
RAKCERAMIC,48.7,51.4,48.7,48.7,49.6,-0.9,1049,65.654,1338576
RANFOUNDRY,173.5,177.0,172.5,173.5,174.7,-1.2,145,1.787,10303
RDFOOD,43.2,44.7,43.2,43.2,44.0,-0.8,519,28.974,668288
RECKITTBEN,4819.7,4855.0,4770.0,4819.7,4770.7,49.0,77,4.848,1007
RELIANCE1,11.1,11.1,11.1,11.1,11.1,0.0,7,0.089,8000
RELIANCINS,62.2,63.7,62.1,62.2,63.3,-1.1,41,0.427,6862
RENATA,1323.9,1326.0,1317.8,1323.9,1324.0,-0.1,267,17.251,13055
REPUBLIC,41.8,43.5,41.6,41.8,42.4,-0.6,85,3.612,86459
RINGSHINE,10.0,10.2,10.0,10.0,10.1,-0.1,522,21.648,2147088
RUNNERAUTO,51.0,52.0,50.5,50.7,51.5,-0.5,184,5.768,113475
RUPALIBANK,26.5,27.4,26.4,26.5,26.6,-0.1,48,0.677,25495
RUPALIINS,30.6,32.2,30.6,30.6,31.2,-0.6,148,3.634,118581
SAFKOSPINN,22.9,23.0,21.8,22.9,21.8,1.1,699,21.215,931229
SAIFPOWER,31.9,32.6,31.8,31.9,32.4,-0.5,1361,64.835,2025789
SAIHAMTEX,22.3,22.5,21.8,22.1,21.8,0.5,352,9.347,421418
SALAMCRST,34.3,34.5,33.6,34.3,33.8,0.5,526,11.756,346033
SALVOCHEM,68.0,68.4,65.7,68.0,65.4,2.6,1541,137.771,2029990
SAMORITA,75.0,76.5,74.0,75.0,73.5,1.5,530,11.66,154941
SAPORTL,29.0,29.6,28.9,29.0,29.4,-0.4,396,13.436,461445
SBACBANK,11.5,11.7,11.2,11.5,11.3,0.2,397,8.685,754693
SEAPEARL,44.7,45.1,44.3,44.7,44.2,0.5,396,12.716,284742
SEMLFBSLGF,8.5,8.6,8.5,8.5,8.5,0.0,16,0.17,20002
SEMLIBBLSF,8.8,8.9,8.8,8.8,8.8,0.0,21,0.323,36592
SEMLLECMF,9.8,10.0,9.8,9.8,9.9,-0.1,52,1.076,109348
SHAHJABANK,19.8,20.6,19.8,19.8,19.9,-0.1,63,0.812,40866
SHASHADNIM,28.3,30.0,28.1,28.3,28.6,-0.3,651,70.246,2480527
SHURWID,22.5,23.5,22.4,22.5,22.8,-0.3,1499,76.88,3356973
SIBL,13.0,13.2,13.0,13.1,13.1,-0.1,76,21.428,1635949
SILCOPHL,25.9,26.7,25.9,25.9,26.4,-0.5,302,13.678,523184
SILVAPHL,24.0,24.8,23.9,24.0,24.3,-0.3,246,10.965,456025
SIMTEX,17.0,17.1,16.7,17.0,16.8,0.2,136,3.741,220791
SINGERBD,163.0,164.4,162.7,163.0,163.1,-0.1,52,1.746,10710
SINOBANGLA,57.9,59.3,57.9,57.9,59.0,-1.1,538,17.147,295055
SKTRIMS,24.8,25.2,24.8,24.8,25.0,-0.2,108,1.695,68078
SONALIANSH,441.7,452.0,441.1,441.9,441.1,0.6,109,1.147,2581
SONALIPAPR,516.3,522.9,516.3,516.3,526.8,-10.5,369,16.248,31398
SONARBAINS,55.9,57.1,55.9,55.9,57.0,-1.1,109,2.226,39730
SOUTHEASTB,14.0,14.1,13.9,14.0,14.0,0.0,114,4.026,287961
SPCERAMICS,50.0,52.2,49.2,50.0,50.2,-0.2,3989,259.172,5126105
SPCL,72.9,73.4,72.8,72.9,73.3,-0.4,304,6.751,92485
SQUARETEXT,65.0,65.3,64.7,65.0,64.7,0.3,187,8.016,123324
SQURPHARMA,215.8,216.0,214.7,215.8,215.0,0.8,1334,72.393,336352
SSSTEEL,17.3,17.6,17.2,17.3,17.5,-0.2,589,12.964,748144
STANDARINS,50.3,53.8,49.6,50.1,50.6,-0.3,108,0.995,20014
STANDBANKL,9.0,9.1,8.9,9.0,9.0,0.0,68,1.052,117408
SUMITPOWER,37.3,37.6,37.2,37.3,37.5,-0.2,255,7.94,212960
TAKAFULINS,51.3,54.0,51.3,51.3,52.3,-1.0,95,2.207,42973
TAMIJTEX,197.6,205.0,197.6,197.6,201.6,-4.0,259,4.982,25157
TITASGAS,41.0,42.5,41.0,41.0,41.8,-0.8,846,61.152,1476680
TOSRIFA,23.9,24.1,23.0,23.9,23.0,0.9,987,53.502,2264570
TRUSTB1MF,5.8,5.8,5.7,5.7,5.7,0.1,49,0.491,85710
TRUSTBANK,33.5,34.0,33.0,33.1,33.2,0.3,17,0.155,4684
UCB,13.7,13.9,13.6,13.7,13.8,-0.1,108,6.464,469419
UNILEVERCL,2826.0,2846.0,2810.1,2836.5,2822.7,3.3,26,0.337,119
UNITEDFIN,15.9,16.2,15.9,15.9,16.2,-0.3,92,1.048,65721
UNITEDINS,50.2,50.2,50.2,50.2,51.2,-1.0,1,0.025,500
UPGDCL,247.7,250.5,247.3,248.4,251.2,-3.5,249,7.379,29614
UTTARABANK,23.2,23.5,23.2,23.2,23.4,-0.2,193,5.203,223633
UTTARAFIN,35.0,36.8,34.9,35.0,35.4,-0.4,75,1.068,30484
VAMLBDMF1,7.6,7.7,7.5,7.5,7.5,0.1,16,0.118,15752
VAMLRBBF,7.3,7.7,7.3,7.6,7.4,-0.1,9,0.055,7163
VFSTDL,22.5,23.0,22.3,22.5,22.7,-0.2,655,29.544,1312254
WALTONHIL,1080.0,1088.6,1072.0,1080.0,1072.4,7.6,189,18.682,17401
WATACHEM,207.9,211.6,204.5,207.9,206.3,1.6,112,2.036,9785
